M:P Blends,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4,SENSOR 6,SENSOR 8
100:0,2.79492,0.69781,3.28598,1.32697,1.45367,1.68367
98:02,0.10183,0.27391,0.39414,0.16561,0.23676,0.22437
96:04,0.13343,0.16767,0.53161,0.16116,0.24654,0.24632
95:05,0.14894,0.21117,0.50989,0.12105,0.22343,0.21249
94:06,0.11608,0.24025,0.61854,0.18683,0.27455,0.27851
92:08,0.15208,0.22737,0.35479,0.1389,0.22563,0.22878
90:10,0.12583,0.26116,0.15486,0.15486,0.25379,0.23382
85:15,0.076589,0.01371,0.51905,0.00638,0.21229,0.10782
80:20,0.05062,0.05305,0.1227,0.11408,0.01303,0.05253
70:30,0.06262,0.098064,0.06139,0.1171,0.0713,0.10966
0:100,0.03819,0.09215,0.24748,0.01603,0.00597,0.04735
